normal_OSCILLATING,normal_OTHER,normal_STATIONARY,anomaly_TREND_UP,anomaly_TREND_DOWN
0.07552113256643983,0.049343521710455085,,-0.026723133987391234,-0.06564014972820464
0.060021438055263276,0.043177291461332035,,-0.01954922149294941,-0.06787191863448516
0.05438243546322358,0.057094163578725265,,-0.03479904760255126,-0.04903425531573036
0.04586425854673343,0.06297581689485254,,-0.03547518088918167,-0.03573962128133845
0.07421954210434362,0.05674626511878911,,-0.036010113444549186,
0.07874592919584006,0.06124383384142923,,-0.051135184552982826,
0.041873210099308056,0.061809868212793884,,-0.028219579416650653,
0.08005417597990261,0.049841301471698796,,-0.045204943795396635,
0.07268023324203621,0.05830110486854384,,-0.05326559028208144,
0.07071763303485268,0.06575138337799502,,-0.07077072639569204,
0.07005035003599486,0.06448417845948551,,-0.061458656933428224,
0.07554275043197378,0.06139997872868075,,-0.045986065835434964,
0.0668209815168932,0.06647131084194063,,-0.008331619907672116,
0.05234362904327633,0.009108796972304045,,-0.052784659928531874,
0.07155315125329015,0.03797373196749837,,-0.14160862386612816,
0.07373760146169595,0.0008325629507038856,,-0.1450641138284886,
0.06710250883788205,0.06588733216831172,,-0.15423554351506785,
0.07189255051855054,0.009324307226031558,,-0.14444243658167,
0.06459418629162172,0.007224497770167315,,-0.14338541690362583,
0.06966945112982031,0.050073743713347274,,-0.140278752880571,
0.05920890186106187,0.032001290157951556,,-0.11824108298485447,
0.07524644112725426,0.0069648511471676056,,-0.11352445772478525,
0.06578862359563281,0.058305527010457825,,-0.09069558158860824,
0.07628633937827872,0.003738663927790431,,-0.05705700461462582,
0.058184878146456676,0.0072982099143744095,,-0.10175421153773445,
0.06996304848994689,0.059396370836877765,,-0.10571802983092271,
0.06119427034726771,0.051539286443878285,,-0.10908743979272217,
0.04517385681274272,0.015058667028292894,,-0.0791165425541337,
0.06758790034901097,0.03812875722895648,,-0.09415778691110965,
0.05926519708076827,0.04002913834362398,,-0.07354229581821403,
0.07421042330558647,0.03342805373237273,,-0.10186631160622528,
0.07496286001277758,0.041722704685821566,,-0.11262268825928778,
0.0766768096422607,0.054312969378772225,,-0.13806341742915262,
0.0676353018594032,0.0530149545983154,,-0.1576608430909101,
0.0480070151645014,0.012805363422574767,,-0.1751513000793914,
0.036892597862763554,0.05696841784168305,,-0.18964737941282106,
0.06543426421624876,0.013395130510393427,,-0.1988030468548736,
0.0734868565880829,0.05399388350518308,,-0.20357657649746763,
0.045767350067303425,0.0052740841700631425,,-0.17908569172528332,
0.07446170876318114,0.0548959930660225,,-0.19130337994180768,
0.026338012358561813,0.05352783255668031,,-0.1912331305551952,
0.01435265828900184,0.005808148766262011,,-0.1727134081332018,
0.07338552808515103,0.052201600339957854,,-0.1383863811679471,
0.07300545931353775,0.025921472150635505,,-0.11146568103640608,
0.046241600328100596,0.03957206295731097,,-0.18545514216330716,
0.0772705727220876,0.021058211447135933,,-0.18041359913724553,
0.02016296073369911,0.04112136473443506,,-0.16499806306754472,
0.07253072688885498,0.01688666470711314,,-0.1370863076638117,
0.07035486996568607,0.03738081874271759,,-0.1235203226006455,
0.051884383223548936,0.0513847541614314,,-0.11509388617328808,
0.07628349676528134,0.02358002565499806,,-0.06463696169634758,
0.060036317225252156,0.01755016736436843,,-0.04251522012254705,
0.07153166976362008,0.037428185442585915,,-0.06325639528925853,
0.028097257431276224,0.03608496063973793,,-0.04798756824597339,
